Data,Cliques,Impressões,CTR,Posição
2026-07-11,10,386,2.59%,8.1
2026-07-12,3,131,2.29%,10.5
2026-07-13,1,73,1.37%,9.8
2026-07-14,7,260,2.69%,8.4
2026-07-15,14,302,4.64%,8.6
2026-07-16,1,40,2.5%,9.6
2026-07-17,3,25,12%,18.3
2026-07-18,1,5,20%,6.6
2026-07-19,2,45,4.44%,21.9
2026-07-20,2,31,6.45%,14.4
2026-07-21,3,27,11.11%,9.6
2026-07-22,1,57,1.75%,9.2
2026-07-23,3,36,8.33%,10.8
2026-07-24,5,26,19.23%,11.8
2026-07-25,0,16,0%,20.6
2026-07-26,3,22,13.64%,10.9
2026-07-27,1,16,6.25%,18.8
2026-07-28,0,25,0%,15.9
2026-07-29,0,216,0%,9.1
2026-07-30,1,23,4.35%,8.8
2026-07-31,2,26,7.69%,11.2
2026-08-01,1,23,4.35%,15.2
2026-08-02,0,17,0%,21.6
2026-08-03,1,30,3.33%,10.6
2026-08-04,0,21,0%,10.2
2026-08-05,0,20,0%,14.8
2026-08-06,0,25,0%,18.9
2026-08-07,2,35,5.71%,9.4
2026-08-08,0,51,0%,15.9
2026-08-09,4,180,2.22%,7.9
2026-08-10,3,49,6.12%,6.6
2026-08-11,3,49,6.12%,13.4
2026-08-12,0,41,0%,12.2
2026-08-13,1,50,2%,19.2
2026-08-14,0,19,0%,17.6
2026-08-15,1,15,6.67%,13
2026-08-16,2,50,4%,18.8
2026-08-17,1,35,2.86%,27.9
2026-08-18,1,35,2.86%,22.6
2026-08-19,2,37,5.41%,16.8
2026-08-20,3,41,7.32%,20.2
2026-08-21,3,36,8.33%,11.3
2026-08-22,7,45,15.56%,7.4
2026-08-23,2,41,4.88%,11.1
2026-08-24,2,37,5.41%,16.4
2026-08-25,3,68,4.41%,13.8
2026-08-26,1,56,1.79%,13.3
2026-08-27,3,64,4.69%,18.4
2026-08-28,1,54,1.85%,17.7
2026-08-29,3,59,5.08%,11.2
2026-08-30,3,47,6.38%,19.2
2026-08-31,3,38,7.89%,22.1
2026-09-01,5,86,5.81%,10
2026-09-02,1,77,1.3%,9.1
2026-09-03,1,50,2%,16.7
2026-09-04,7,58,12.07%,7.5
2026-09-05,3,140,2.14%,9.9
2026-09-06,4,229,1.75%,9.3
2026-09-07,3,94,3.19%,10.9
2026-09-08,4,58,6.9%,14.7
2026-09-09,3,95,3.16%,9.8
2026-09-10,4,253,1.58%,16.2
2026-09-11,7,126,5.56%,11.5
2026-09-12,3,44,6.82%,12
2026-09-13,0,54,0%,13.3
