País,Cliques,Impressões,CTR,Posição
Brasil,149,3429,4.35%,11.43
Portugal,10,194,5.15%,11.82
Estados Unidos,1,449,0.22%,9.34
Reino Unido,1,42,2.38%,9.6
Espanha,1,11,9.09%,10.64
Irlanda,1,5,20%,5.6
Iraque,1,3,33.33%,10.67
Japão,0,28,0%,7.89
México,0,27,0%,9.41
Países Baixos,0,25,0%,9.88
Índia,0,25,0%,44.12
Alemanha,0,16,0%,6.62
Argentina,0,16,0%,14.5
Canadá,0,15,0%,9.33
Emirados Árabes Unidos,0,14,0%,8.14
França,0,13,0%,12.46
Filipinas,0,13,0%,59.85
Equador,0,11,0%,7.64
Austrália,0,11,0%,12.55
Peru,0,10,0%,7.8
Vietnã,0,10,0%,40.5
Colômbia,0,9,0%,18
Coréia do Sul,0,9,0%,27.78
Itália,0,8,0%,11
Angola,0,8,0%,12.12
Indonésia,0,8,0%,50.62
Paraguai,0,6,0%,10
Turquia,0,6,0%,16.5
Bélgica,0,5,0%,6.2
Singapura,0,5,0%,6.4
Israel,0,5,0%,20.8
Rússia,0,5,0%,23
Ucrânia,0,5,0%,25.2
Bangladesh,0,5,0%,27.6
Hong Kong,0,4,0%,7.25
Chile,0,4,0%,8.5
Uruguai,0,4,0%,16.25
Marrocos,0,4,0%,22.75
Malásia,0,4,0%,24.75
Tailândia,0,4,0%,28.5
Suíça,0,3,0%,6.67
Panamá,0,3,0%,7
Paquistão,0,3,0%,30.67
África do Sul,0,2,0%,2
Bolívia,0,2,0%,6
Polônia,0,2,0%,6.5
Áustria,0,2,0%,8
Romênia,0,2,0%,9
República Tcheca,0,2,0%,13.5
Suécia,0,2,0%,14.5
Venezuela,0,2,0%,28
China,0,1,0%,1
Dinamarca,0,1,0%,2
Croácia,0,1,0%,2
Bermudas,0,1,0%,3
Nova Zelândia,0,1,0%,3
Egito,0,1,0%,4
Moçambique,0,1,0%,4
Noruega,0,1,0%,4
Quênia,0,1,0%,5
República Dominicana,0,1,0%,7
Finlândia,0,1,0%,10
Guiné-Bissau,0,1,0%,10
El Salvador,0,1,0%,10
Taiwan,0,1,0%,33
Arábia Saudita,0,1,0%,35
Argélia,0,1,0%,46
Libéria,0,1,0%,49
Guatemala,0,1,0%,52
Butão,0,1,0%,66
Etiópia,0,1,0%,66
