Páginas principais,Cliques,Impressões,CTR,Posição
https://fla10.news/,96,295,32.54%,8.18
https://fla10.news/noticias/flamengo-x-olimpia-onde-assistir-provaveis-escalacoes-tudo-sobre-o-confronto-que-fecha-a-intertemporada,18,565,3.19%,7.78
https://fla10.news/noticias/conheca-o-trofeu-algarve-torneio-historico-em-portugal-onde-o-flamengo-mira-sua-preparacao-de-alto-nivel-para-o-segundo-semestre,8,510,1.57%,9.3
https://fla10.news/noticias/o-que-o-equador-esta-dizendo-sobre-flamengo-x-del-valle-imprensa-ve-favorito-mas-alerta-para-o-matagigantes,6,91,6.59%,7.76
https://fla10.news/noticias/flamengo-conquista-a-5-regata-estadual-de-remo-e-reforca-hegemonia-no-rio,5,33,15.15%,4.76
https://fla10.news/basquete,4,278,1.44%,29.29
https://fla10.news/noticias/flamengotv-bate-recorde-historico-com-flamengo-x-olimpia-e-confirma-forca-global-da-nacao-rubro-negra-no-youtube,3,48,6.25%,6.02
https://fla10.news/raio-x/quem-sao-anthony-valencia-e-joaquin-freitas,2,199,1.01%,7.24
https://fla10.news/autores/robson-correa,2,2,100%,1
https://fla10.news/noticias/flamengo-evita-retorno-ao-rio-e-monta-operacao-especial-para-enfrentar-altitude-de-quito,1,172,0.58%,8.03
https://fla10.news/noticias/independiente-del-valle-x-flamengo-onde-assistir-horario-arbitragem-e-provaveis-escalacoes---tudo-sobre-o-jogo-de-ida-das-quartas-da-libertadores,1,127,0.79%,30.15
https://fla10.news/quem-somos,1,114,0.88%,8.14
https://fla10.news/raio-x/independiente-del-valle-5-perigos-que-leonardo-jardim-precisa-neutralizar-para-avancar-na-libertadores,1,113,0.88%,6.25
https://fla10.news/noticias,1,106,0.94%,5.85
https://fla10.news/noticias/ferroviaria-x-flamengo-onde-assistir-arbitragem-provaveis-escalacoes---tudo-sobre-o-jogo-que-pode-garantir-a-vaga-nas-quartas-do-brasileirao-feminino,1,55,1.82%,9.16
https://fla10.news/fale-conosco,1,45,2.22%,9.58
https://fla10.news/trabalhe-conosco,1,40,2.5%,7.65
https://fla10.news/noticias/flamengo-precisa-vender-para-contratar-as-contas-que-explicam-a-cautela-do-clube-no-mercado,1,26,3.85%,7.46
https://fla10.news/noticias/flamengo-perdeu-masa-kirov-para-a-temporada-202627,1,11,9.09%,7.91
